morpheme,gloss,affix,freq
хэ,OBL,suffix,2341
м,OBL,suffix,2472744
щ,OBL,suffix,123007
мэщы,OBL,suffix,1498
шӏагъэ,OBL,suffix,389
конференцие,OBL,suffix,139
капитаны,OBL,suffix,260
лигэ,OBL,suffix,51
й,OBL,suffix,215
м,OBL,prefix,228
министрэ,OBL,suffix,449
туры,OBL,suffix,16
инкубаторы,OBL,suffix,38
сайты,OBL,suffix,10
балыкъы,OBL,suffix,3
сымы,OBL,suffix,13
капитан,OBL,suffix,11
доны,OBL,suffix,70
концерты,OBL,suffix,12
дэмышӏэ,OBL,suffix,19
шӏыкӏэ,OBL,suffix,6
шыкъу,OBL,suffix,5
къуакӏэ,OBL,suffix,7
бэй,OBL,suffix,1
налкъуты,OBL,suffix,1
шъокӏу,OBL,suffix,1
при,OBL,suffix,3
борэны,OBL,suffix,13
гъэ,OBL,suffix,16
демократие,OBL,suffix,3
премьеры,OBL,suffix,24
мышъхьэ,OBL,suffix,11
псы,OBL,suffix,1
лыхьэ,OBL,suffix,1
тӏу,OBL,suffix,5
борэн,OBL,suffix,2
лейтенанты,OBL,suffix,2
шхо,OBL,suffix,7
мэщ,OBL,suffix,5
поселение,OBL,suffix,5
классы,OBL,suffix,12
блэгъу,OBL,suffix,1
майоры,OBL,suffix,3
финансы,OBL,suffix,1
ты,OBL,suffix,4
бэ,OBL,suffix,1
тхэ,OBL,suffix,1
класс,OBL,suffix,1
щыпсы,OBL,suffix,1
текӏы,OBL,suffix,2
быжъы,OBL,suffix,1
секретары,OBL,suffix,1
адмиралы,OBL,suffix,1
менеджеры,OBL,suffix,1
гъ,PST,suffix,821301
гъэ,PST,suffix,1723004
гъа,PST,suffix,103570
гъ,PST,prefix,354
гъэ,PST,prefix,480
дэмышӏа,PST,suffix,2
сымы,PST,suffix,17
адмиралы,PST,suffix,1
шъокӏу,PST,suffix,2
псыи,PST,suffix,1
жьы,PST,suffix,1
къокӏа,PST,suffix,2
шӏыкӏа,PST,suffix,1
дэмышӏэ,PST,suffix,7
жъоры,PST,suffix,1
къокӏэ,PST,suffix,2
щты,PST,suffix,1
секретары,PST,suffix,1
плӏэуа,PST,suffix,1
р,ABS,suffix,1599042
классы,ABS,suffix,13
хэ,ABS,suffix,1679
сымы,ABS,suffix,20
шӏагъэ,ABS,suffix,214
мышъхьэ,ABS,suffix,10
при,ABS,suffix,32
капитаны,ABS,suffix,180
инкубаторы,ABS,suffix,23
мэщы,ABS,suffix,56
конференцие,ABS,suffix,71
министрэ,ABS,suffix,80
капитан,ABS,suffix,10
балыкъы,ABS,suffix,2
упцӏэ,ABS,suffix,2
гъэ,ABS,suffix,3
майоры,ABS,suffix,1
оперэ,ABS,suffix,2
борэны,ABS,suffix,2
къуакӏэ,ABS,suffix,8
концерты,ABS,suffix,4
туры,ABS,suffix,5
шъокӏу,ABS,suffix,1
доны,ABS,suffix,14
премьеры,ABS,suffix,2
тфы,ABS,suffix,2
адмиралы,ABS,suffix,1
дэмышӏэ,ABS,suffix,4
бэ,ABS,suffix,3
шхо,ABS,suffix,2
тхэ,ABS,suffix,2
шӏыкӏэ,ABS,suffix,2
шыкъу,ABS,suffix,2
тӏу,ABS,suffix,2
сайты,ABS,suffix,1
щы,ABS,suffix,1
къурты,ABS,suffix,1
рэ,ABS,suffix,1
лейтенанты,ABS,suffix,2
класс,ABS,suffix,2
бэи,ABS,suffix,1
